S
I=43,J=43
27.000000, 16.000000, 1.568102
28.000000, 16.000000, 1.534708
29.000000, 16.000000, 1.515676
30.000000, 16.000000, 1.532422
31.000000, 16.000000, 1.573126
32.000000, 16.000000, 1.627192
33.000000, 16.000000, 1.707584
34.000000, 16.000000, 1.814399
35.000000, 16.000000, 1.932493
36.000000, 16.000000, 2.057536
37.000000, 16.000000, 2.184155
38.000000, 16.000000, 2.305754
39.000000, 16.000000, 2.416545
40.000000, 16.000000, 2.513863
41.000000, 16.000000, 2.599519
42.000000, 16.000000, 2.689148
0.000000, 17.000000, 3.836360
1.000000, 17.000000, 3.869106
2.000000, 17.000000, 3.907427
3.000000, 17.000000, 3.952298
4.000000, 17.000000, 4.004565
5.000000, 17.000000, 4.065770
6.000000, 17.000000, 4.137648
7.000000, 17.000000, 4.222459
8.000000, 17.000000, 4.323390
9.000000, 17.000000, 4.446079
10.000000, 17.000000, 4.597571
11.000000, 17.000000, 4.786417
12.000000, 17.000000, 5.024716
13.000000, 17.000000, 5.330836
14.000000, 17.000000, 5.732493
15.000000, 17.000000, 6.266630
16.000000, 17.000000, 6.475837
17.000000, 17.000000, 6.021448
18.000000, 17.000000, 5.324579
19.000000, 17.000000, 4.291244
20.000000, 17.000000, 3.527059
21.000000, 17.000000, 2.961671
22.000000, 17.000000, 2.542578
23.000000, 17.000000, 2.232941
24.000000, 17.000000, 2.006204
25.000000, 17.000000, 1.840303
26.000000, 17.000000, 1.717825
27.000000, 17.000000, 1.624657
28.000000, 17.000000, 1.549995
29.000000, 17.000000, 1.487786
30.000000, 17.000000, 1.458000
31.000000, 17.000000, 1.450767
32.000000, 17.000000, 1.452160
33.000000, 17.000000, 1.465364
34.000000, 17.000000, 1.507458
35.000000, 17.000000, 1.575065
36.000000, 17.000000, 1.654994
37.000000, 17.000000, 1.746152
38.000000, 17.000000, 1.847057
39.000000, 17.000000, 1.954890
40.000000, 17.000000, 2.066585
41.000000, 17.000000, 2.189982
42.000000, 17.000000, 2.330898
0.000000, 18.000000, 3.944300
1.000000, 18.000000, 3.983116
2.000000, 18.000000, 4.027342
3.000000, 18.000000, 4.077759
4.000000, 18.000000, 4.135132
5.000000, 18.000000, 4.200777
6.000000, 18.000000, 4.276477
7.000000, 18.000000, 4.364310
8.000000, 18.000000, 4.467228
9.000000, 18.000000, 4.588881
10.000000, 18.000000, 4.735763
11.000000, 18.000000, 4.915268
12.000000, 18.000000, 5.135832
13.000000, 18.000000, 5.406953
14.000000, 18.000000, 5.733200
15.000000, 18.000000, 6.086938
16.000000, 18.000000, 6.302225
17.000000, 18.000000, 5.991733
18.000000, 18.000000, 5.190724
19.000000, 18.000000, 4.355498
20.000000, 18.000000, 3.663848
21.000000, 18.000000, 3.123091
22.000000, 18.000000, 2.706082
23.000000, 18.000000, 2.384480
24.000000, 18.000000, 2.136355
25.000000, 18.000000, 1.943230
26.000000, 18.000000, 1.789419
27.000000, 18.000000, 1.662446
28.000000, 18.000000, 1.551883
29.000000, 18.000000, 1.450697
30.000000, 18.000000, 1.377331
31.000000, 18.000000, 1.326021
